id,name,aliases,category,overview,symptoms_keywords,differential_points,treatment_title,first_line_treatment,severity_flag,referral_flag,pros,cons,cost,insurance_flag,update_date,reviewed_by
psoriasis,尋常性乾癬,乾癬;psoriasis,乾癬/角化,境界明瞭な紅斑と銀白色鱗屑が慢性化する,鱗屑;紅斑;慢性;肘膝;頭皮,脂漏性皮膚炎/湿疹鑑別;関節症状スクリーニング,外用薬と全身療法,外用(活性型VitD/ステロイド)+必要時光線/内服/生物学的製剤,中等症,要専門医紹介,治療選択肢が多くQOL改善が可能,慢性で長期フォローが必要,保険適用,保険,2026-02-22,医師レビュー待ち
psoriatic_arthritis,乾癬性関節炎,PsA;psoriatic arthritis,乾癬/角化,乾癬に関節炎を合併する,関節痛;腫れ;こわばり;乾癬,早期介入が予後に重要;リウマチ鑑別,免疫治療,皮膚科/リウマチ連携+全身療法,重症,要専門医紹介,関節破壊予防につながる,専門治療が必要,保険適用,保険,2026-02-22,医師レビュー待ち
ppp,掌蹠膿疱症,しょうせきのうほうしょう;PPP,乾癬/角化,手のひら足底に無菌性膿疱が反復する,膿疱;手掌;足底;痛み;再発,汗疱/白癬鑑別;歯科/喫煙など誘因評価,外用薬,外用+光線療法検討+生活指導(禁煙など),中等症,要専門医紹介,誘因介入で改善する例がある,難治で再燃しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
ichthyosis,魚鱗癬,ぎょりんせん;ichthyosis,乾癬/角化,乾燥と角化が強い体質性疾患,乾燥;角化;全身;遺伝/体質,湿疹との違い説明;二次感染/ひび割れ注意,保湿治療,保湿+角質調整外用+スキンケア指導,中等症,要専門医紹介,症状緩和が期待できる,根治ではなく長期ケア,保険適用,保険,2026-02-22,医師レビュー待ち
keratosis_pilaris,毛孔性苔癬,さめ肌;KP,乾癬/角化,毛穴の角化でざらつきが出る,ざらつき;毛穴;上腕;大腿,アトピー合併の有無;炎症が強い場合は別疾患鑑別,保湿と外用薬,保湿+尿素/角質調整外用,軽症,経過観察,低侵襲で改善が見込める,完全消失は難しいことがある,保険適用,保険,2026-02-22,医師レビュー待ち
bp,水疱性類天疱瘡,類天疱瘡;bullous pemphigoid,水疱/自己免疫,高齢者に多い自己免疫性水疱症,水疱;かゆみ;高齢;びらん,薬剤誘発の評価;感染/脱水リスク;早期専門治療,ステロイド治療,ステロイド外用/内服+免疫調整(重症は専門),重症,要専門医紹介,適切治療で改善が期待できる,再発や全身管理が必要,保険適用,保険,2026-02-22,医師レビュー待ち
pemphigus,天疱瘡,てんぽうそう;pemphigus,水疱/自己免疫,粘膜病変を伴うこともある重症水疱症,びらん;水疱;口腔;疼痛,重症化リスク高い;早急に専門施設;感染管理,免疫抑制療法,専門科紹介+全身ステロイド/免疫抑制,重症,緊急対応,安全導線を明確にできる,入院/強い治療が必要,保険適用,保険,2026-02-22,医師レビュー待ち
dh_dux,ジューリング疱疹状皮膚炎,デューリング病;dermatitis herpetiformis,水疱/自己免疫,強いかゆみと小水疱が群発する,強いかゆみ;小水疱;肘膝;対称,セリアック病関連の評価;類天疱瘡鑑別,内服治療,専門紹介+内服(ダプソン等)±食事指導,重症,要専門医紹介,診断がつけば治療方針が明確,専門的評価が必要,保険適用,保険,2026-02-22,医師レビュー待ち
lentigo_solar,老人性色素斑,シミ;solar lentigo,色素異常,紫外線で生じる境界明瞭な色素斑,色素斑;顔;手背;加齢,悪性(メラノーマ等)の鑑別;変化(急速増大)の確認,レーザー治療,日焼け対策+必要時レーザー/外用(自費が多い),軽症,経過観察,美容満足度が高い,自費になりやすい,自費,自費,2026-02-22,医師レビュー待ち
melasma,肝斑,かんぱん;melasma,色素異常,頬などに左右対称の色素斑,左右対称;頬;色素斑;女性,摩擦悪化の説明;レーザーで悪化する例あり,内服と外用,遮光+摩擦回避+トラネキサム酸等内服(適応)±外用,中等症,経過観察,生活指導で悪化を防げる,再発しやすく継続が必要,自費併用,混在,2026-02-22,医師レビュー待ち
pih,炎症後色素沈着,色素沈着;PIH,色素異常,炎症後に色が残る状態,色素沈着;ニキビ後;湿疹後,原因炎症の再燃防止;日焼けで悪化,外用治療,遮光+保湿+必要時外用(炎症/美白),軽症,経過観察,自然軽快も多い,改善に時間がかかる,保険適用,保険,2026-02-22,医師レビュー待ち
vitiligo,尋常性白斑,白斑;vitiligo,色素異常,色素が抜ける斑が出現する,色素脱失;白斑;境界明瞭,真菌(でん風)鑑別;甲状腺疾患など合併評価,外用と光線療法,外用+光線療法(適応)±専門紹介,中等症,要専門医紹介,治療選択肢があり改善例がある,難治例がある,保険適用,保険,2026-02-22,医師レビュー待ち
freckles,雀卵斑,そばかす;freckles,色素異常,遺伝性で小さな色素斑が散在する,小斑点;顔;遺伝;日光で増悪,肝斑/老人性色素斑との区別;遮光の重要性,レーザー,遮光+必要時レーザー(多くは自費),軽症,経過観察,美容改善が期待できる,再発しやすい,自費,自費,2026-02-22,医師レビュー待ち
epidermoid_cyst,粉瘤,表皮嚢腫;epidermoid cyst,腫瘍/できもの,皮下に袋状のしこりができる,しこり;皮下;炎症;臭い,炎症性粉瘤(赤く痛い)は処置優先;悪性腫瘍鑑別(急速増大),切除術,感染/炎症がなければ計画切除;炎症時は切開排膿,中等症,要専門医紹介,切除で根治が可能,手術が必要で瘢痕が残り得る,保険適用,保険,2026-02-22,医師レビュー待ち
lipoma,脂肪腫,リポーマ;lipoma,腫瘍/できもの,脂肪由来の良性腫瘍,柔らかいしこり;皮下;ゆっくり増大,悪性(脂肪肉腫)鑑別:急速増大/疼痛/硬い,手術,症状/増大があれば切除;経過観察も可,軽症,経過観察,多くは良性で説明しやすい,手術が必要なケースがある,保険適用,保険,2026-02-22,医師レビュー待ち
nevus,色素性母斑,ほくろ;nevus,腫瘍/できもの,良性の色素性病変,色素斑;隆起;黒褐色,ABCDEで悪性鑑別;変化の有無;ダーモスコピー,切除または経過観察,変化がなければ経過;疑わしければ切除/紹介,中等症,要専門医紹介,悪性の見逃し防止導線が作れる,不安が強いと受診が増える,保険適用,保険,2026-02-22,医師レビュー待ち
seb_keratosis,脂漏性角化症,老人性いぼ;seborrheic keratosis,腫瘍/できもの,良性の角化性腫瘍が増える,いぼ;茶色;ざらつき;加齢,悪性との鑑別(急変/出血);患者不安のケア,凍結療法,症状/希望があれば凍結or切除;経過観察も可,軽症,経過観察,短時間処置で対応可能,複数回必要なことがある,保険適用,保険,2026-02-22,医師レビュー待ち
acrochordon,アクロコルドン,首いぼ;skin tag,腫瘍/できもの,首などにできる柔らかい小腫瘤,首;腋;擦れる;小さな突起,脂漏性角化症/疣贅鑑別;糖代謝との関連示唆(参考程度),切除,剪除/電気焼灼/凍結(施設で選択),軽症,経過観察,簡便に除去できる,再発/多発しうる,保険適用,保険,2026-02-22,医師レビュー待ち
bcc,基底細胞癌,BCC;basal cell carcinoma,腫瘍/できもの,進行は遅いが局所破壊する皮膚がん,黒い結節;潰瘍;出血;顔,早期診断が重要;ほくろ/脂漏性角化症との鑑別;生検,外科切除,専門施設で切除(病理確認),重症,要専門医紹介,治癒率が高い,放置で拡大し手術範囲が増える,保険適用,保険,2026-02-22,医師レビュー待ち
scc,有棘細胞癌,SCC;squamous cell carcinoma,腫瘍/できもの,転移もあり得る皮膚がん,硬い腫瘤;潰瘍;出血;日光部位,リンパ節/転移評価;前がん病変(日光角化症)の理解,外科治療,専門施設で切除+必要時追加治療,重症,緊急対応,早期対応で予後改善が期待できる,進行例では治療負担が大きい,保険適用,保険,2026-02-22,医師レビュー待ち
melanoma,悪性黒色腫,メラノーマ;melanoma,腫瘍/できもの,悪性度が高く転移しやすい皮膚がん,ほくろ様;不整;色むら;急速変化,ABCDE;出血/潰瘍;早急に専門紹介,外科と薬物療法,緊急で皮膚科/腫瘍専門へ紹介,重症,緊急対応,安全導線の設計でリスクを下げられる,早期発見を逃すと予後が悪い,保険適用,保険,2026-02-22,医師レビュー待ち
herpes_labialis,口唇ヘルペス,くちびるヘルペス;HSV-1,口周り/粘膜,口唇周囲の再発性ヘルペス,水疱;痛み;口唇;再発,早期治療で短縮;帯状疱疹/口内炎鑑別,抗ウイルス薬,前駆症状で抗ウイルス薬;接触感染対策,中等症,経過観察,患者満足度が高い(早期介入),再発を繰り返すことがある,保険適用,保険,2026-02-22,医師レビュー待ち
angular_cheilitis,口角炎,こうかくえん;angular cheilitis,口周り/粘膜,口角の亀裂と炎症,ひび割れ;痛み;口角;湿潤,カンジダ/細菌の関与評価;ビタミン欠乏など背景,外用薬,保湿+抗真菌/抗菌外用(疑いで選択),軽症,経過観察,治療で改善しやすい,再発例では背景評価が必要,保険適用,保険,2026-02-22,医師レビュー待ち
stomatitis,口内炎,アフタ;stomatitis,口周り/粘膜,口腔粘膜の疼痛性潰瘍,潰瘍;痛み;口腔;食事困難,ヘルペス/手足口病/ベーチェット鑑別;再発頻度評価,対症療法,局所ステロイド/含嗽+疼痛管理;長引くなら受診,軽症,経過観察,自然軽快が多い,痛みでQOL低下が大きい,保険適用,保険,2026-02-22,医師レビュー待ち
erythema_multiforme,多形紅斑,たけいこうはん;erythema multiforme,その他,感染/薬剤を契機に標的状紅斑が出る,標的状;紅斑;四肢;再発,薬疹(SJS/TEN)鑑別;粘膜症状の有無;原因検索,対症療法,原因評価+抗ヒスタミン/外用;重症兆候は紹介,中等症,要専門医紹介,重症薬疹の見逃し防止ができる,鑑別が難しい場合がある,保険適用,保険,2026-02-22,医師レビュー待ち
erythema_nodosum,結節性紅斑,けっせつせいこうはん;erythema nodosum,その他,下腿の圧痛を伴う結節が出る,下腿;痛いしこり;発熱;関節痛,感染/薬剤/炎症性腸疾患など原因検索;血栓との鑑別,原因治療,原因検索+NSAIDs等の対症;必要時紹介,中等症,要専門医紹介,原因検索を組み込める(面接で強い),原因同定が必要で手間がかかる,保険適用,保険,2026-02-22,医師レビュー待ち
alopecia_areata,円形脱毛症,えんけいだつもうしょう;alopecia areata,その他,自己免疫が関与する脱毛が急に起こる,円形脱毛;急性;自己免疫,AGA/牽引性/真菌性脱毛鑑別;重症度(単発/多発/全頭)評価,外用と注射,外用/局所注射(適応)±内服;重症は専門,中等症,要専門医紹介,治療反応が見込める,再発があり得る,保険適用,保険,2026-02-22,医師レビュー待ち
aga,男性型脱毛症,AGA;androgenetic alopecia,その他,進行性の男性型脱毛,生え際;頭頂;進行;男性,円形脱毛症との鑑別;内服禁忌確認;継続前提の説明,内服治療,フィナステリド/デュタステリド等(多くは自費),軽症,経過観察,発毛/進行抑制が期待できる,継続しないと戻りやすい,自費,自費,2026-02-22,医師レビュー待ち
hyperhidrosis,多汗症,わき汗;hyperhidrosis,その他,日常生活に支障が出る発汗過多,発汗;腋;手掌;日常支障,二次性(甲状腺等)鑑別;重症度評価;保険適用範囲確認,外用と注射,外用(塩化Al等)/内服/ボツリヌス(適応) ,中等症,要専門医紹介,治療選択肢が複数ある,保険/自費の混在で説明が必要,保険自費混在,混在,2026-02-22,医師レビュー待ち
pressure_ulcer,褥瘡,床ずれ;pressure ulcer,その他,圧迫で皮膚が壊死し潰瘍化する,潰瘍;圧迫;寝たきり;感染,壊死/感染/骨髄炎リスク;在宅/介護連携,創傷管理,除圧+創処置+感染管理;必要時専門紹介,重症,要専門医紹介,多職種連携の設計を語れる,長期化しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
insect_bite,虫刺症,虫刺され;insect bite,その他,虫刺されによる炎症とかゆみ,かゆみ;腫れ;紅斑;刺し口,蜂アレルギー/感染合併鑑別;掻破で悪化,外用薬,冷却+外用ステロイド±抗ヒスタミン,軽症,経過観察,対応がシンプルで現場に合う,掻き壊しで長引く,保険適用,保険,2026-02-22,医師レビュー待ち
chilblains,凍瘡,しもやけ;chilblains,その他,寒冷で末梢循環が悪化し赤紫に腫れる,寒冷;指趾;腫れ;かゆみ/痛み,膠原病(レイノー)鑑別;潰瘍化の有無,保温と外用,保温+血行改善+外用;重症は紹介,軽症,経過観察,季節性で指導が明確,冬季に再発しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
burn,熱傷,やけど;burn,その他,熱による皮膚損傷,水疱;疼痛;発赤;範囲/深さ,深達度/面積評価;感染/瘢痕リスク;顔/手/関節は注意,創傷管理,冷却+被覆材/軟膏+疼痛管理;重症は紹介,中等症,要専門医紹介,初期対応の標準化ができる,重症度判断が必要,保険適用,保険,2026-02-22,医師レビュー待ち
